album,album_id,album_link,artist,rating,rev_date,reviewer,year
Kannon,21286,http://www.pitchfork.com/reviews/albums/21286-kannon/,Sunn O))),6.5,"December 3, 2015",Grayson Haver Currin,2015
PRODUCT,21212,http://www.pitchfork.com/reviews/albums/21212-product/,SOPHIE,6.6,"December 2, 2015",Mark Richardson,2015
Free Fall EP,21302,http://www.pitchfork.com/reviews/albums/21302-free-fall-ep/,Jlin,7.6,"December 2, 2015",Britt Julious,2015
White Light from the Mouth of Infinity,21259,http://www.pitchfork.com/reviews/albums/21259-white-light-from-the-mouth-of-infinity-love-of-life/,Swans,7.9,"December 2, 2015",Philip Sherburne,2015
Top 5 Dead or Alive,21281,http://www.pitchfork.com/reviews/albums/21281-top-5-dead-or-alive/,Jadakiss,5.5,"December 2, 2015",Ian Cohen,2015
Pregnant With Success,21293,http://www.pitchfork.com/reviews/albums/21293-pregnant-with-success/,Junglepussy,7.5,"December 2, 2015",Anupa Mistry,2015
But You Caint Use My Phone,21319,http://www.pitchfork.com/reviews/albums/21319-but-you-caint-use-my-phone/,Erykah Badu,8.1,"December 1, 2015",Ryan Dombal,2015
"And After That, We Didn‰Ûªt Talk",21209,http://www.pitchfork.com/reviews/albums/21209-and-after-that-we-didnt-talk/,GoldLink,7.3,"December 1, 2015",Matthew Strauss,2015
Broken Flowers EP,21294,http://www.pitchfork.com/reviews/albums/21294-broken-flowers-ep/,Danny L Harle,6.9,"December 1, 2015",Mehan Jayasuriya,2015
Love Is A Hurtin' Thing,21269,http://www.pitchfork.com/reviews/albums/21269-love-is-a-hurtin-thing/,Gloria Ann Taylor,8.7,"December 1, 2015",Andy Beta,2015
Catalina Breeze,21304,http://www.pitchfork.com/reviews/albums/21304-catalina-breeze/,Blue Jean Committee,6.7,"December 1, 2015",Allison Hussey,2015
Look Around,21245,http://www.pitchfork.com/reviews/albums/21245-look-around/,Beat Happening,8.2,"November 30, 2015",Brandon Stosuy,2015
Paranoid London,21288,http://www.pitchfork.com/reviews/albums/21288-paranoid-london/,Paranoid London,8.2,"November 30, 2015",Andy Beta,2015
9th House,21320,http://www.pitchfork.com/reviews/albums/21320-9th-house/,Muja Messiah / I Self Devine,7.3,"November 30, 2015",Paul A. Thompson,2015
Ty Rex,21295,http://www.pitchfork.com/reviews/albums/21295-ty-rex/,Ty Segall,8.1,"November 30, 2015",Evan Minsker,2015
Saint Cecilia EP,21315,http://www.pitchfork.com/reviews/albums/21315-foo-fighters-saint-cecilia-ep/,Foo Fighters,6,"November 30, 2015",Ian Cohen,2015
A Love Supreme: The Complete Masters,21158,http://www.pitchfork.com/reviews/albums/21158-a-love-supreme-the-complete-masters/,John Coltrane,10,"November 25, 2015",Mark Richardson,2015
Monastic Living EP,21301,http://www.pitchfork.com/reviews/albums/21301-monastic-living-ep/,Parquet Courts,4.9,"November 25, 2015",Jazz Monroe,2015
My Name Is Doug Hream Blunt,21270,http://www.pitchfork.com/reviews/albums/21270-my-name-is/,Doug Hream Blunt,6.8,"November 25, 2015",Andy Beta,2015
The Wireless EP,21250,http://www.pitchfork.com/reviews/albums/21250-sarcosuchus-the-wireless-ep/,Punch Brothers,6.8,"November 25, 2015",Zoe Camp,2015
Night of Your Ascension,21208,http://www.pitchfork.com/reviews/albums/21208-night-of-your-ascension/,Wrekmeister Harmonies,7.8,"November 25, 2015",Saby Reyes-Kulkarni,2015
Heady Nuggs: 20 Years After Clouds Taste Metallic,21279,http://www.pitchfork.com/reviews/albums/21279-heady-nuggs-20-years-after-clouds-taste-metallic/,The Flaming Lips,9.1,"November 24, 2015",Stuart Berman,2015
Sold Out,21169,http://www.pitchfork.com/reviews/albums/21169-sold-out/,DJ Paypal,7.9,"November 24, 2015",Miles Raymer,2015
Gode,21299,http://www.pitchfork.com/reviews/albums/21299-gode/,AndrÌ© Bratten,7.4,"November 24, 2015",Nathan Reese,2015
The Body & Krieg,21201,http://www.pitchfork.com/reviews/albums/21201-the-body-krieg/,The Body / Krieg,7.5,"November 24, 2015",Andy O'Connor,2015
Anareta,21134,http://www.pitchfork.com/reviews/albums/21134-anareta/,Horrendous,8.2,"November 24, 2015",Grayson Haver Currin,2015
Kneedelus,21240,http://www.pitchfork.com/reviews/albums/21240-kneedelus/,Kneebody and Daedelus,8,"November 23, 2015",Ron Hart,2015
Invisible Switch,21258,http://www.pitchfork.com/reviews/albums/21258-invisible-switch/,Joey Anderson,7.4,"November 23, 2015",Philip Sherburne,2015
N.V.,21242,http://www.pitchfork.com/reviews/albums/21242-nv/,Dragged Into Sunlight / Gnaw Their Tongues,5.5,"November 23, 2015",Saby Reyes-Kulkarni,2015
Side by Side EP,21275,http://www.pitchfork.com/reviews/albums/21275-natalie-prass-side-by-side-ep/,Natalie Prass,7.2,"November 23, 2015",Jeremy Gordon,2015
25,21246,http://www.pitchfork.com/reviews/albums/21246-25/,Adele,7.3,"November 23, 2015",Amanda Petrusich,2015
Church in These Streets,21164,http://www.pitchfork.com/reviews/albums/21164-church-in-these-streets/,Jeezy,6,"November 20, 2015",Matthew Ramirez,2015
Shadow of a Doubt,21274,http://www.pitchfork.com/reviews/albums/21274-shadow-of-a-doubt/,Freddie Gibbs,7.8,"November 20, 2015",Max Mertens,2015
Hard Hold,21300,http://www.pitchfork.com/reviews/albums/21300-hard-hold/,Jaala,7.8,"November 20, 2015",Laura Snapes,2015
Dark Sky Island,21237,http://www.pitchfork.com/reviews/albums/21237-dark-sky-island/,Enya,7.1,"November 20, 2015",Brad Nelson,2015
City of Brides,21233,http://www.pitchfork.com/reviews/albums/21233-city-of-brides/,En,7.4,"November 20, 2015",Zoe Camp,2015
Junun,21213,http://www.pitchfork.com/reviews/albums/21213-junun/,Shye Ben Tzur / Jonny Greenwood / The Rajasthan Express,8,"November 19, 2015",Seth Colter Walls,2015
Hexadic II,21189,http://www.pitchfork.com/reviews/albums/21189-hexadic-ii/,Six Organs of Admittance,7.8,"November 19, 2015",Grayson Haver Currin,2015
Agitations,21277,http://www.pitchfork.com/reviews/albums/21277-agitations/,Lotic,8.2,"November 19, 2015",Jonathan Patrick,2015
Rave Cave 2 EP,21159,http://www.pitchfork.com/reviews/albums/21159-rave-cave-2-ep/,Andrew Hung,7.2,"November 19, 2015",Sarah Sahim,2015
Time & Materials,21239,http://www.pitchfork.com/reviews/albums/21239-time-materials/,Cavanaugh,7.2,"November 19, 2015",Nate Patrin,2015
The Incredible True Story,21216,http://www.pitchfork.com/reviews/albums/21216-the-incredible-true-story/,Logic,6.1,"November 18, 2015",Julian Kimble,2015
Jodorowsky‰Ûªs Dune OST,21241,http://www.pitchfork.com/reviews/albums/21241-jodorowskys-dune-ost/,Kurt Stenzel,8,"November 18, 2015",Saby Reyes-Kulkarni,2015
4 Walls,21285,http://www.pitchfork.com/reviews/albums/21285-4-walls/,f(x),7.3,"November 18, 2015",Sheldon Pearce,2015
Nothing,21221,http://www.pitchfork.com/reviews/albums/21221-nothing/,Kode9,7.6,"November 18, 2015",Britt Julious,2015
Mutant,21231,http://www.pitchfork.com/reviews/albums/21231-arca-mutant/,Arca,8.4,"November 18, 2015",Mark Richardson,2015
Purpose,21248,http://www.pitchfork.com/reviews/albums/21248-purpose/,Justin Bieber,6.2,"November 17, 2015",Brad Nelson,2015
Making Time,21163,http://www.pitchfork.com/reviews/albums/21163-making-time/,Jamie Woon,7.4,"November 17, 2015",Britt Julious,2015
The Miraculous,21135,http://www.pitchfork.com/reviews/albums/21135-the-miraculous/,Anna von Hausswolff,7.8,"November 17, 2015",Zoe Camp,2015
Nef the Pharaoh EP,21255,http://www.pitchfork.com/reviews/albums/21255-nef-the-pharaoh-ep/,Nef the Pharaoh,7.3,"November 17, 2015",Winston Cook-Wilson,2015
amERICa,21141,http://www.pitchfork.com/reviews/albums/21141-america/,Wreckless Eric,7.7,"November 17, 2015",Sam Lefebvre,2015
Free TC,20916,http://www.pitchfork.com/reviews/albums/20916-free-tc/,Ty Dolla $ign,7.7,"November 16, 2015",Rebecca Haithcoat,2015
Hell EP,21261,http://www.pitchfork.com/reviews/albums/21261-hell-ep/,The Pains of Being Pure at Heart,5.5,"November 16, 2015",Evan Rytlewski,2015
Skid Row,21225,http://www.pitchfork.com/reviews/albums/21225-skid-row/,James Ferraro,6.6,"November 16, 2015",Miles Raymer,2015
Know-It-All,21247,http://www.pitchfork.com/reviews/albums/21247-know-it-all/,Alessia Cara,5.5,"November 16, 2015",Jonah Bromwich,2015
Parallelogram,20588,http://www.pitchfork.com/reviews/albums/20588-parallelogram/,Various Artists,8.4,"November 16, 2015",Grayson Haver Currin,2015
Norberg/Apondalifa,21217,http://www.pitchfork.com/reviews/albums/21217-norbergapondalifa/,Tim Hecker,7.6,"November 13, 2015",Marc Masters,2015
Animal Nature,21273,http://www.pitchfork.com/reviews/albums/21273-animal-nature/,Escort,6.8,"November 13, 2015",Ilana Kaplan,2015
Alone In The Universe,21266,http://www.pitchfork.com/reviews/albums/21266-alone-in-the-universe/,Jeff Lynne's ELO,6.3,"November 13, 2015",Stephen M. Deusner,2015
Cool Uncle,21271,http://www.pitchfork.com/reviews/albums/21271-cool-uncle/,Cool Uncle,7.5,"November 13, 2015",Ernest Wilkins,2015
People's Instinctive Travels and the Paths of Rhythm,21218,http://www.pitchfork.com/reviews/albums/21218-peoples-instinctive-travels-and-the-paths-of-rhythm/,A Tribe Called Quest,10,"November 13, 2015",kris ex,2015
Montage of Heck: The Home Recordings,21157,http://www.pitchfork.com/reviews/albums/21157-montage-of-heck-the-home-recordings/,Kurt Cobain,4,"November 12, 2015",Jayson Greene,2015
Riot Boi,21109,http://www.pitchfork.com/reviews/albums/21109-le1f-riot-boi/,Le1f,7.5,"November 12, 2015",Andy Emitt,2015
Indie 500,21215,http://www.pitchfork.com/reviews/albums/21215-indie-500/,Talib Kweli / 9th Wonder,6.3,"November 12, 2015",Mosi Reeves,2015
Ilimaq,21205,http://www.pitchfork.com/reviews/albums/21205-ilimaq/,Glenn Kotche / John Luther Adams,7.7,"November 12, 2015",Seth Colter Walls,2015
Bottom of the Morning,21276,http://www.pitchfork.com/reviews/albums/21276-bottom-of-the-morning/,Pinkish Black,7.9,"November 12, 2015",Grayson Haver Currin,2015
EVENIFUDONTBELIEVE,21253,http://www.pitchfork.com/reviews/albums/21253-evenifudontbelieve/,Rustie,7.3,"November 11, 2015",Philip Sherburne,2015
Fit Me In EP,21254,http://www.pitchfork.com/reviews/albums/21254-fit-me-in-ep/,Frankie Cosmos,7,"November 11, 2015",Jes Skolnik,2015
MMM,21272,http://www.pitchfork.com/reviews/albums/21272-mmm/,Puff Daddy,6.6,"November 11, 2015",Matthew Ramirez,2015
"Ork Records: New York, New York",21203,http://www.pitchfork.com/reviews/albums/21203-ork-records-new-york-new-york/,Various Artists,8.8,"November 11, 2015",Aaron Leitko,2015
One,21252,http://www.pitchfork.com/reviews/albums/21252-one/,Kate Boy,6.9,"November 11, 2015",Eric Torres,2015
Seems Unfair,21188,http://www.pitchfork.com/reviews/albums/21188-seems-unfair/,Trust Fund,6.8,"November 10, 2015",Laura Snapes,2015
True Will,21249,http://www.pitchfork.com/reviews/albums/21249-true-will/,White Widows Pact,7,"November 10, 2015",Saby Reyes-Kulkarni,2015
Know How to Carry a Whip,21207,http://www.pitchfork.com/reviews/albums/21207-know-how-to-carry-a-whip/,Corrections House,7,"November 10, 2015",Miles Raymer,2015
Myths 001: Collaborative Recordings,21267,http://www.pitchfork.com/reviews/albums/21267-myths-001-collaborative-recordings/,Connan Mockasin / DevontÌ© Hynes,6,"November 10, 2015",Evan Rytlewski,2015
Art Angels,21264,http://www.pitchfork.com/reviews/albums/21264-art-angels/,Grimes,8.5,"November 10, 2015",Jessica Hopper,2015
Garden of Delete,21108,http://www.pitchfork.com/reviews/albums/21108-garden-of-delete/,Oneohtrix Point Never,8.7,"November 9, 2015",Philip Sherburne,2015
Vulnicura Strings,21232,http://www.pitchfork.com/reviews/albums/21232-vulnicura-strings/,BjÌ_rk,6.8,"November 9, 2015",Laura Snapes,2015
Basement Hysteria,21142,http://www.pitchfork.com/reviews/albums/21142-basement-hysteria/,PC Worship,7.8,"November 9, 2015",Sam Lefebvre,2015
Modern Warfare EPs 1-3,21229,http://www.pitchfork.com/reviews/albums/21229-modern-warfare-eps-1-3/,Special Request,7.3,"November 9, 2015",Andy Beta,2015
Vertigo,21133,http://www.pitchfork.com/reviews/albums/21133-vertigo/,The Necks,7.7,"November 9, 2015",Grayson Haver Currin,2015
AMY: The Original Soundtrack,21214,http://www.pitchfork.com/reviews/albums/21214-amy-the-original-soundtrack/,Amy Winehouse,5.4,"November 6, 2015",Jia Tolentino,2015
Slime Season 2,21262,http://www.pitchfork.com/reviews/albums/21262-slime-season-2/,Young Thug,7.9,"November 6, 2015",Meaghan Garvey,2015
Astral Weeks,21092,http://www.pitchfork.com/reviews/albums/21092-astral-weeks-his-band-and-the-street-choir/,Van Morrison,10,"November 6, 2015",Stephen Thomas Erlewine,2015
Late Knight Special,21132,http://www.pitchfork.com/reviews/albums/21132-late-knight-special/,Kirk Knight,6.4,"November 6, 2015",Matthew Strauss,2015
Dealer,21191,http://www.pitchfork.com/reviews/albums/21191-dealer/,Foxing,7.6,"November 6, 2015",Ian Cohen,2015
Sprained Ankle,21260,http://www.pitchfork.com/reviews/albums/21260-sprained-ankle/,Julien Baker,7,"November 5, 2015",Ian Cohen,2015
Amor Supremo,21243,http://www.pitchfork.com/reviews/albums/21243-amor-supremo/,Carla Morrison,8,"November 5, 2015",Stephen M. Deusner,2015
Delirium,21180,http://www.pitchfork.com/reviews/albums/21180-delirium/,Ellie Goulding,7.2,"November 5, 2015",Hazel Cills,2015
The Things We Do to Find People Who Feel Like Us,21053,http://www.pitchfork.com/reviews/albums/21053-the-things-we-do-to-find-people-who-feel-like-us/,Beach Slang,8,"November 5, 2015",Ian Cohen,2015
The Cutting Edge 1965-1966: The Bootleg Series Volume 12,21178,http://www.pitchfork.com/reviews/albums/21178-the-cutting-edge-1965-1966-the-bootleg-series-volume-12/,Bob Dylan,8.7,"November 5, 2015",Mark Richardson,2015
Loaded: Re-Loaded 45th Anniversary Edition,21220,http://www.pitchfork.com/reviews/albums/21220-loaded-re-loaded-45th-anniversary-edition/,The Velvet Underground,10,"November 4, 2015",Stuart Berman,2015
II,21124,http://www.pitchfork.com/reviews/albums/21124-ii/,Fuzz,6.7,"November 4, 2015",Evan Minsker,2015
"Music for Life, Itself & The Interrupters",21177,http://www.pitchfork.com/reviews/albums/21177-music-for-life-itself-the-interrupters/,Joshua Abrams,7,"November 4, 2015",Aaron Leitko,2015
Accidental Sky,21193,http://www.pitchfork.com/reviews/albums/21193-accidental-sky/,White Out,6.9,"November 4, 2015",Raymond Cummings,2015
The Source,21131,http://www.pitchfork.com/reviews/albums/21131-the-source/,Ted Hearne,7,"November 4, 2015",Seth Colter Walls,2015
Elaenia,21110,http://www.pitchfork.com/reviews/albums/21110-floating-points-elaenia/,Floating Points,8.4,"November 3, 2015",Philip Sherburne,2015
AQUARIA,21139,http://www.pitchfork.com/reviews/albums/21139-aquaria/,Boots,5.9,"November 3, 2015",Jia Tolentino,2015
Coke Zoo,21251,http://www.pitchfork.com/reviews/albums/21251-coke-zoo/,French Montana / Fetty Wap,6.6,"November 3, 2015",Sheldon Pearce,2015
I Am a Problem: Mind in Pieces,21056,http://www.pitchfork.com/reviews/albums/21056-i-am-a-problem-mind-in-pieces/,Wolf Eyes,7.8,"November 3, 2015",Marc Masters,2015
Cocksure,21204,http://www.pitchfork.com/reviews/albums/21204-cocksure/,Laura Stevenson,7,"November 3, 2015",Evan Rytlewski,2015
Yellow Tape Activities,21154,http://www.pitchfork.com/reviews/albums/21154-yellow-tape-activities/,Mozzy,7.5,"November 2, 2015",David Drake,2015
Stop Suffering EP,21176,http://www.pitchfork.com/reviews/albums/21176-stop-suffering-ep/,Tropic of Cancer,7.1,"November 2, 2015",Jes Skolnik,2015
[Cease & Desist] DIY! (Cult classics from the Post-Punk era 1978 - 82),21100,http://www.pitchfork.com/reviews/albums/21100-cease-desist-diy-cult-classics-from-the-post-punk-era-1978-82/,Various Artists,8.4,"November 2, 2015",Douglas Wolk,2015
Technomancer,21162,http://www.pitchfork.com/reviews/albums/21162-technomancer/,Pictureplane,5.9,"November 2, 2015",Hazel Cills,2015
Return to the Moon,21161,http://www.pitchfork.com/reviews/albums/21161-return-to-the-moon/,EL VY,4.8,"November 2, 2015",Andrew Gaerig,2015
Gahdamn! EP,21226,http://www.pitchfork.com/reviews/albums/21226-gahdamn-ep/,D.R.A.M.,6.9,"October 28, 2015",Matthew Ramirez,2015
Teens of Style,21121,http://www.pitchfork.com/reviews/albums/21121-teens-of-style/,Car Seat Headrest,8.1,"October 28, 2015",Jeremy Gordon,2015
Torch of the Mystics,21175,http://www.pitchfork.com/reviews/albums/21175-torch-of-the-mystics/,Sun City Girls,9,"October 28, 2015",Marc Masters,2015
We Are Not the First,21130,http://www.pitchfork.com/reviews/albums/21130-we-are-not-the-first/,Hieroglyphic Being / J.I.T.U. Ahn-Sahm-Buhl,7.2,"October 28, 2015",Philip Sherburne,2015
The Attic Tapes,21128,http://www.pitchfork.com/reviews/albums/21128-the-attic-tapes/,John Renbourn,6.5,"October 28, 2015",Grayson Haver Currin,2015
Dillatronic,21156,http://www.pitchfork.com/reviews/albums/21156-dillatronic/,J Dilla,7,"October 27, 2015",Mosi Reeves,2015
Muscle Up,21120,http://www.pitchfork.com/reviews/albums/21120-muscle-up/,Patrick Cowley,8.1,"October 27, 2015",Barry Walters,2015
RIP Chrysalis,21187,http://www.pitchfork.com/reviews/albums/21187-rip-chrysalis/,Eartheater,7.7,"October 27, 2015",J. Edward Keyes,2015
Under the Same Sky,21223,http://www.pitchfork.com/reviews/albums/21223-under-the-same-sky/,Basic Soul Unit,6.5,"October 27, 2015",Christine Kakaire,2015
Songs of Lament EP,21151,http://www.pitchfork.com/reviews/albums/21151-songs-of-lament-ep/,Yautja,7,"October 27, 2015",Saby Reyes-Kulkarni,2015
Communion,21081,http://www.pitchfork.com/reviews/albums/21081-communion/,Rabit,7.9,"October 26, 2015",Philip Sherburne,2015
Sleepwalker,21206,http://www.pitchfork.com/reviews/albums/21206-sleepwalker/,Long Beard,6.6,"October 26, 2015",Hazel Cills,2015
Angels & Ghosts,21119,http://www.pitchfork.com/reviews/albums/21119-angels-ghosts/,Dave Gahan / Soulsavers,5.7,"October 26, 2015",T. Cole Rachel,2015
Christine and the Queens,21147,http://www.pitchfork.com/reviews/albums/21147-christine-and-the-queens/,Christine and the Queens,8,"October 26, 2015",Laura Snapes,2015
Bad Neighbor,21155,http://www.pitchfork.com/reviews/albums/21155-bad-neighbor/,Madlib / M.E.D. / Blu,7.2,"October 26, 2015",Marcus J. Moore,2015
There‰Ûªs Nothing Wrong With Love,21096,http://www.pitchfork.com/reviews/albums/21096-theres-nothing-wrong-with-love/,Built to Spill,9.3,"October 23, 2015",Mark Richardson,2015
Silver Bullets,21055,http://www.pitchfork.com/reviews/albums/21055-silver-bullets/,The Chills,6.9,"October 23, 2015",J. Edward Keyes,2015
Deeper Than Sky,21143,http://www.pitchfork.com/reviews/albums/21143-deeper-than-sky/,VHÌ_L,8.2,"October 23, 2015",Andy O'Connor,2015
Bizarster,21196,http://www.pitchfork.com/reviews/albums/21196-bizarster/,Luke Vibert,6.4,"October 23, 2015",Andy Beta,2015
Cardinal,21183,http://www.pitchfork.com/reviews/albums/21183-cardinal/,Philip Jeck,7.6,"October 23, 2015",Grayson Haver Currin,2015
Many Moons,21091,http://www.pitchfork.com/reviews/albums/21091-many-moons/,Martin Courtney,7,"October 22, 2015",Marc Hogan,2015
Airplane Mode,21224,http://www.pitchfork.com/reviews/albums/21224-airplane-mode/,Ty Dolla $ign,6.8,"October 22, 2015",Israel Daramola,2015
Howl,21222,http://www.pitchfork.com/reviews/albums/21222-howl/,Rival Consoles,7.7,"October 22, 2015",Jonah Bromwich,2015
International Blackjazz Society,21106,http://www.pitchfork.com/reviews/albums/21106-international-blackjazz-society/,Shining,7,"October 22, 2015",Brad Nelson,2015
Karamika,21211,http://www.pitchfork.com/reviews/albums/21211-karamika/,Karamika,7.3,"October 22, 2015",Andy Beta,2015
Ballin Like I‰Ûªm Kobe,21153,http://www.pitchfork.com/reviews/albums/21153-ballin-like-im-kobe/,G Herbo,7.2,"October 21, 2015",David Drake,2015
Life,21174,http://www.pitchfork.com/reviews/albums/21174-life/,Dan Friel,7.8,"October 21, 2015",Marc Masters,2015
Tous Les GarÌ_ons Et Les Filles,21098,http://www.pitchfork.com/reviews/albums/21098-tous-les-garcons-et-les-filles-le-premier-bonheur-du-jour-mon-amie-la-rose-lamitie-la-maison-ou-jai-grandi/,FranÌ_oise Hardy,8.6,"October 21, 2015",Hazel Cills,2015
As If,21182,http://www.pitchfork.com/reviews/albums/21182-as-if/,!!!,6.9,"October 21, 2015",Cameron Cook,2015
Liberman,21173,http://www.pitchfork.com/reviews/albums/21173-liberman/,Vanessa Carlton,7.8,"October 21, 2015",Matthew Schnipper,2015
Nothing Feels Good,21125,http://www.pitchfork.com/reviews/albums/21125-nothing-feels-good/,The Promise Ring,8.6,"October 20, 2015",Ian Cohen,2015
Dream All Over,20980,http://www.pitchfork.com/reviews/albums/20980-dream-all-over/,Gun Outfit,8.1,"October 20, 2015",Jenn Pelly,2015
American Tragic,20859,http://www.pitchfork.com/reviews/albums/20859-american-tragic/,Wax Idols,7.6,"October 20, 2015",T. Cole Rachel,2015
Lost Themes Remixed,21126,http://www.pitchfork.com/reviews/albums/21126-lost-themes-remixed/,John Carpenter,6.9,"October 20, 2015",Miles Raymer,2015
Autumn Eternal,21200,http://www.pitchfork.com/reviews/albums/21200-autumn-eternal/,Panopticon,7.5,"October 20, 2015",Saby Reyes-Kulkarni,2015
Divers,21097,http://www.pitchfork.com/reviews/albums/21097-divers/,Joanna Newsom,8.5,"October 19, 2015",Laura Snapes,2015
Electronica 1: The Time Machine,21117,http://www.pitchfork.com/reviews/albums/21117-electronica-1-the-time-machine/,Jean-Michel Jarre,4,"October 19, 2015",Philip Sherburne,2015
Incitation EP,21089,http://www.pitchfork.com/reviews/albums/21089-incitation-ep/,Olga Bell,7.2,"October 19, 2015",Winston Cook-Wilson,2015
Alma Do Meu Pai EP,21195,http://www.pitchfork.com/reviews/albums/21195-alma-do-meu-pai-ep/,DJ Firmeza,7.6,"October 19, 2015",Meaghan Garvey,2015
Lightless Walk,21152,http://www.pitchfork.com/reviews/albums/21152-lightless-walk/,Cult Leader,7.5,"October 19, 2015",Jason Heller,2015
All We Need,21172,http://www.pitchfork.com/reviews/albums/21172-all-we-need/,Raury,6.8,"October 16, 2015",Sheldon Pearce,2015
Cardamom Times EP,21116,http://www.pitchfork.com/reviews/albums/21116-cardamom-times-ep/,Weyes Blood,7.7,"October 16, 2015",Brandon Stosuy,2015
Shape Shift,21171,http://www.pitchfork.com/reviews/albums/21171-shape-shift/,Zombi,7.2,"October 16, 2015",Saby Reyes-Kulkarni,2015
I Thought the Future Would Be Cooler,21181,http://www.pitchfork.com/reviews/albums/21181-i-thought-the-future-would-be-cooler/,YACHT,5,"October 16, 2015",Patric Fallon,2015
Thank Your Lucky Stars,21197,http://www.pitchfork.com/reviews/albums/21197-thank-your-lucky-stars/,Beach House,8.1,"October 16, 2015",Jayson Greene,2015
The Documentary 2,20903,http://www.pitchfork.com/reviews/albums/20903-the-documentary-2/,The Game,7.2,"October 15, 2015",Ian Cohen,2015
Sexwitch,21198,http://www.pitchfork.com/reviews/albums/21198-sexwitch/,Sexwitch,6.4,"October 15, 2015",Evan Minsker,2015
Eyes of Love,21013,http://www.pitchfork.com/reviews/albums/21013-eyes-of-love/,The Edge of Daybreak,7.3,"October 15, 2015",Marcus J. Moore,2015
Let's Jam 1 EP,21148,http://www.pitchfork.com/reviews/albums/21148-lets-jam-1-ep-lets-jam-2-ep/,Zomby,4.9,"October 15, 2015",Andrew Gaerig,2015
Grievances,21149,http://www.pitchfork.com/reviews/albums/21149-grievances/,Kowloon Walled City,7.8,"October 15, 2015",Jason Heller,2015
VEGA INTL. Night School,21041,http://www.pitchfork.com/reviews/albums/21041-vega-intl-night-school/,Neon Indian,8.6,"October 14, 2015",Ian Cohen,2015
BYLUG World,21202,http://www.pitchfork.com/reviews/albums/21202-bylug-world/,Doughboyz Cashout,6.8,"October 14, 2015",Meaghan Garvey,2015
so the flies don't come,21199,http://www.pitchfork.com/reviews/albums/21199-so-the-flies-dont-come/,milo,7.4,"October 14, 2015",Sheldon Pearce,2015
St Germain,21150,http://www.pitchfork.com/reviews/albums/21150-st-germain/,St Germain,6,"October 14, 2015",Andy Beta,2015
Grief‰Ûªs Infernal Flower,21054,http://www.pitchfork.com/reviews/albums/21054-griefs-infernal-flower/,Windhand,7.8,"October 14, 2015",Grayson Haver Currin,2015
All Odds End,21032,http://www.pitchfork.com/reviews/albums/21032-all-odds-end/,The Mantles,7.5,"October 13, 2015",Sam Lefebvre,2015
Exercises in Futility,21052,http://www.pitchfork.com/reviews/albums/21052-mgla-exercises-in-futility/,MgÅâa,7.8,"October 13, 2015",Andy O'Connor,2015
Are You Alone?,21194,http://www.pitchfork.com/reviews/albums/21194-are-you-alone/,Majical Cloudz,8,"October 13, 2015",Mike Powell,2015
Off That Loud EP,21018,http://www.pitchfork.com/reviews/albums/21018-off-that-loud-ep/,DJ Spinn,7.3,"October 13, 2015",Leor Galil,2015
